"id","movie_name","actors","directors","duration","genre"
15,"Run All Night","Liam Neeson, Ed Harris, Joel Kinnaman","Jaume Collet-Serra","114 min ","Action, Crime, Drama"
19,"The Hunted","Robert Chapin, Monique Ganderton, David Lain Baker","Robert Chapin","90 min ","Action, Thriller"
28,"Last Knights","Clive Owen, Morgan Freeman, Aksel Hennie","Kazuaki Kiriya","115 min ","Action, Adventure"
30,"The Gunman","Sean Penn, Idris Elba, Jasmine Trinca","Pierre Morel","115 min ","Action, Crime, Drama"
34,"Blackhat","Chris Hemsworth, Viola Davis, Wei Tang","Michael Mann","133 min ","Action, Crime, Drama"
46,"Kidnapping Mr. Heineken","Jim Sturgess, Sam Worthington, Ryan Kwanten","Daniel Alfredson","95 min ","Action, Crime, Drama"
52,"Mortdecai","Johnny Depp, Gwyneth Paltrow, Ewan McGregor","David Koepp","107 min ","Action, Comedy, Mystery"
64,"Slow West","Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn","John Maclean","84 min ","Action, Thriller, Western"
67,"Survivor","Dylan McDermott, Royce Pierreson, Ben Starr","James McTeigue","96 min ","Action, Crime, Thriller"
81,"Phantom","Saif Ali Khan, Katrina Kaif, Sabyasachi Chakraborty","Kabir Khan","136 min ","Action, Drama, Thriller"
87,"Vice","Thomas Jane, Bruce Willis, Ambyr Childers","Brian A Miller","96 min ","Action, Adventure, Sci-Fi"
106,"Dragon Blade","Jackie Chan, John Cusack, Adrien Brody","Daniel Lee","127 min ","Action, Adventure, Drama"
201,"Godzilla","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston","Gareth Edwards","123 min ","Action, Adventure, Sci-Fi"
204,"Seventh Son","Ben Barnes, Julianne Moore, Jeff Bridges","Sergey Bodrov","102 min ","Action, Adventure, Fantasy"
208,"300: Rise of an Empire","Sullivan Stapleton, Eva Green, Lena Headey","Noam Murro","102 min ","Action, Drama, Fantasy"
209,"Hercules","Dwayne Johnson, John Hurt, Ian McShane","Brett Ratner","98 min ","Action, Adventure"
211,"Teenage Mutant Ninja Turtles","Megan Fox, Will Arnett, William Fichtner","Jonathan Liebesman","101 min ","Action, Adventure, Comedy"
215,"Revenge of the Green Dragons","Justin Chon, Kevin Wu, Harry Shum Jr.","Wai-Keung Lau","94 min ","Action, Crime, Drama"
216,"Wolves","Lucas Till, Stephen McHattie, John Pyper-Ferguson","David Hayter","91 min ","Action, Horror"
218,"Ride Along","Ice Cube, Kevin Hart, Tika Sumpter","Tim Story","99 min ","Action, Comedy"
219,"Brick Mansions","Paul Walker, David Belle, RZA","Camille Delamarre","90 min ","Action, Crime, Drama"
220,"Outcast","Nicolas Cage, Hayden Christensen, Alexandre Bailly","Nick Powell","99 min ","Action, Adventure"
221,"Skin Trade","Dolph Lundgren, Tony Jaa, Ron Perlman","Ekachai Uekrongtham","96 min ","Action, Crime, Thriller"
222,"How to Train Your Dragon 2","Jay Baruchel, Cate Blanchett, Gerard Butler","Dean DeBlois","102 min ","Animation, Action, Adventure"
232,"Persecuted","James Remar, Dean Stockwell, Bruce Davison","Daniel Lusko","91 min ","Action, Drama, Mystery"
235,"The Amazing Spider-Man 2","Andrew Garfield, Emma Stone, Jamie Foxx","Marc Webb","142 min ","Action, Adventure, Fantasy"
239,"Everly","Salma Hayek, Hiroyuki Watanabe, Laura Cepeda","Joe Lynch","92 min ","Action, Thriller"
242,"Noah","Russell Crowe, Jennifer Connelly, Anthony Hopkins","Darren Aronofsky","138 min ","Action, Adventure, Drama"
253,"Big Game","Samuel L. Jackson, Onni Tommila, Ray Stevenson","Jalmari Helander","110 min ","Action, Adventure"
257,"Dawn of the Planet of the Apes","Gary Oldman, Keri Russell, Andy Serkis","Matt Reeves","130 min ","Action, Drama, Sci-Fi"
265,"3 Days to Kill","Kevin Costner, Hailee Steinfeld, Connie Nielsen","McG","117 min ","Action, Drama, Thriller"
271,"The Outsider","Craig Fairbrass, James Caan, Jason Patric","Brian A Miller","94 min ","Action, Crime, Drama"
279,"The Raid 2","Iko Uwais, Yayan Ruhian, Arifin Putra","Gareth Evans","150 min ","Action, Crime, Thriller"
285,"22 Jump Street","Channing Tatum, Jonah Hill, Ice Cube","Phil Lord","112 min ","Action, Comedy, Crime"
286,"Falcon Rising","Neal McDonough, Michael Jai White, Lateef Crowder","Ernie Barbarash","103 min ","Action, Adventure"
291,"Broken","Soren Fulton, Felix Ryan, Whitney Goin","Damian X. Fulton","91 min ","Action, Adventure, Drama"
292,"The Expendables 3","Sylvester Stallone, Jason Statham, Jet Li","Patrick Hughes","126 min ","Action, Adventure, Thriller"
297,"Need for Speed","Aaron Paul, Dominic Cooper, Imogen Poots","Scott Waugh","132 min ","Action, Crime, Drama"
307,"Kill Me Three Times","Simon Pegg, Teresa Palmer, Alice Braga","Kriv Stenders","90 min ","Action, Comedy, Thriller"
309,"Rage","Nicolas Cage, Rachel Nichols, Max Ryan","Paco Cabezas","92 min ","Action, Crime, Thriller"
313,"Open Windows","Sasha Grey, Elijah Wood, Neil Maskell","Nacho Vigalondo","100 min ","Action, Crime, Thriller"
316,"Taken 3","Liam Neeson, Forest Whitaker, Maggie Grace","Olivier Megaton","109 min ","Action, Thriller"
317,"Son of a Gun","Ewan McGregor, Brendan Kerkvliet, Brenton Thwaites","Julius Avery","108 min ","Action, Crime, Drama"
319,"Happy New Year","Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan","Farah Khan","180 min ","Action, Comedy, Crime"
320,"Left Behind","Nicolas Cage, Lea Thompson, Cassi Thomson","Vic Armstrong","110 min ","Action, Sci-Fi, Thriller"
334,"Gulaab Gang","Madhuri Dixit, Juhi Chawla, Divya Jagdale","Soumik Sen","139 min ","Action, Drama"
335,"Gunday","Ranveer Singh, Arjun Kapoor, Priyanka Chopra","Ali Abbas Zafar","152 min ","Action, Crime, Drama"
338,"'71","Jack O'Connell, Sam Reid, Sean Harris","Yann Demange","99 min ","Action, Drama, Thriller"
345,"Young Ones","Nicholas Hoult, Kodi Smit-McPhee, Michael Shannon","Jake Paltrow","100 min ","Action, Drama, Sci-Fi"
362,"Lucy","Scarlett Johansson, Morgan Freeman, Min-sik Choi","Luc Besson","89 min ","Action, Sci-Fi, Thriller"
370,"A Most Violent Year","Oscar Isaac, Jessica Chastain, David Oyelowo","J.C. Chandor","125 min ","Action, Crime, Drama"
