"id","movie_name","actors","directors","duration","genre"
44,"Broken","Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham","Alan White","97 minutes","Drama, Foreign, Horror, Thriller"
63,"Talladega Nights: The Ballad of Ricky Bobby","Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon","Adam McKay","108 minutes","Action, Comedy"
84,"The Bridge","","Eric Steel","93 minutes","Documentary"
104,"The Host","Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson","Bong Joon-ho","119 minutes","Comedy, Drama, Foreign, Horror"
131,"Rush Hour 3","Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski","Brett Ratner","91 minutes","Action, Adventure, Comedy, Crime, Thriller"
133,"Fay Grim","Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan","","118 minutes","Action, Comedy, Drama, Thriller"
146,"Live Free or Die Hard","","","128 minutes","Action, Thriller"
154,"Mission: Impossible III","Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Keri Russell,Laurence Fishburne,Billy Crudup,Jonathan Rhys-Meyers,Michelle Monaghan","","126 minutes","Action, Adventure, Thriller"
155,"The Promise","Dong-Gun Jang,Hiroyuki Sanada,Cecilia Cheung,Nicholas Tse,Liu Ye","","98 minutes","Action, Drama, Fantasy, Foreign, Romance, Science Fiction, Thriller"
158,"Poseidon","Josh Lucas,Kurt Russell,Jacinda Barrett,Richard Dreyfuss,Jimmy Bennett,Emmy Rossum,Andre Braugher","Wolfgang Petersen","99 minutes","Action, Adventure, Disaster, Thriller"
161,"Hate Crime","Seth Peterson,Bruce Davison,Chad Donella,Cindy Pickett,Brian J. Smith,Susan Blakely,Farah White,Giancarlo Esposito","","104 minutes","Drama, Thriller"
190,"Ice Age: The Meltdown","Ray Romano,Denis Leary,Queen Latifah,Josh Peck,Jay Leno,Seann William Scott","Carlos Saldanha","91 minutes","Adventure, Animation, Family"
268,"King Kong","Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke","Peter Jackson","187 minutes","Action, Adventure, Drama, Foreign, Horror, Thriller"
